Country,Code,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Albania,ALB,1.9,3.6,2.0,2.1,2.5,5.7,2.5,2.9,2.8,8.3,3.1,3.6,3.4
Algeria,DZA,3.2,5.9,3.2,3.2,3.3,7.6,3.2,3.3,3.4,9.6,3.5,3.6,3.6
Angola,AGO,5.3,9.6,5.1,5.0,5.0,11.6,4.8,4.8,4.8,13.6,4.9,4.9,4.8
Argentina,ARG,8.7,16.3,8.7,8.9,9.0,21.3,9.0,9.2,9.3,26.6,9.7,9.8,9.9
Armenia,ARM,1.7,3.3,1.8,1.9,2.2,5.0,2.2,2.5,2.4,6.8,2.5,2.9,2.7
Australia,AUS,8.6,16.1,8.5,8.6,8.8,28.8,12.2,12.3,12.5,35.6,12.9,13.1,13.2
Austria,AUT,18.0,34.1,18.4,18.9,21.4,48.8,20.9,23.7,22.1,63.7,23.4,26.4,24.6
Azerbaijan,AZE,2.6,5.0,2.7,2.7,3.0,7.0,3.0,3.4,3.1,8.9,3.2,3.6,3.4
Bahrain,BHR,11.3,21.0,11.3,11.8,12.3,29.0,12.3,12.6,12.9,36.9,13.5,13.7,14.0
Bangladesh,BGD,1.5,2.9,1.5,1.6,1.6,3.7,1.6,1.6,1.6,4.6,1.7,1.7,1.7
Belarus,BLR,4.3,8.1,4.4,4.6,5.3,15.3,6.6,7.6,7.2,21.0,7.8,8.9,8.4
Belgium,BEL,12.4,23.5,12.7,13.0,20.0,33.9,14.5,22.4,15.4,44.4,16.3,25.1,17.1
Belize,BLZ,2.3,4.3,2.4,2.5,2.6,6.1,2.7,2.8,2.9,8.6,3.2,3.3,3.4
Benin,BEN,1.3,2.5,1.3,1.3,1.3,3.0,1.3,1.3,1.3,3.6,1.3,1.3,1.3
Bhutan,BTN,1.2,2.3,1.3,1.4,1.4,3.4,1.5,1.6,1.7,4.9,1.8,1.9,2.0
Bolivia,BOL,3.5,6.6,3.5,3.5,3.6,8.4,3.5,3.5,3.6,10.1,3.6,3.7,3.7
Bosnia and Herzegovina,BIH,1.7,3.3,1.9,2.0,2.3,5.4,2.4,2.8,2.6,7.8,2.9,3.4,3.2
Botswana,BWA,2.5,4.7,2.5,2.5,2.6,6.0,2.6,2.6,2.7,7.6,2.8,2.8,2.9
Brazil,BRA,23.3,44.0,23.4,23.6,23.9,62.3,26.3,26.6,26.9,76.2,27.6,27.9,28.2
Brunei Darussalam,BRN,3.3,6.1,3.3,3.5,3.6,8.4,3.7,3.8,4.0,11.5,4.3,4.4,4.6
Bulgaria,BGR,3.4,6.5,3.5,3.7,4.2,9.9,4.3,4.9,4.6,13.3,4.9,5.6,5.2
Burkina Faso,BFA,2.2,4.1,2.2,2.1,2.1,4.9,2.0,2.0,2.0,5.7,2.0,2.0,2.0
Burundi,BDI,1.3,2.4,1.3,1.3,1.3,2.9,1.2,1.2,1.2,3.5,1.3,1.3,1.3
